Type of text;Text size;Algorithm;Pattern size;Time(ns)
четырехсимвольный;100001;КМП-обычный;600;13492847
четырехсимвольный;100001;КМП-оптимизированный;600;11985847
четырехсимвольный;15121;наивный;700;302528
четырехсимвольный;15121;КМП-обычный;700;1593333
четырехсимвольный;15121;КМП-оптимизированный;700;1589041
четырехсимвольный;100001;наивный;700;2817014
четырехсимвольный;100001;КМП-обычный;700;10327236
четырехсимвольный;100001;КМП-оптимизированный;700;10342861
четырехсимвольный;15121;наивный;800;395750
четырехсимвольный;15121;КМП-обычный;800;1599736
четырехсимвольный;15121;КМП-оптимизированный;800;1600569
четырехсимвольный;100001;наивный;800;1902014
четырехсимвольный;100001;КМП-обычный;800;10341194
четырехсимвольный;100001;КМП-оптимизированный;800;10385083
четырехсимвольный;15121;наивный;900;620874
четырехсимвольный;15121;КМП-обычный;900;1656624
четырехсимвольный;15121;КМП-оптимизированный;900;1639805
четырехсимвольный;100001;наивный;900;1817361
четырехсимвольный;100001;КМП-обычный;900;10567055
четырехсимвольный;100001;КМП-оптимизированный;900;10651680
четырехсимвольный;15121;наивный;1000;280055
четырехсимвольный;15121;КМП-обычный;1000;1641347
четырехсимвольный;15121;КМП-оптимизированный;1000;1643486
четырехсимвольный;100001;наивный;1000;1897972
четырехсимвольный;100001;КМП-обычный;1000;10446527
четырехсимвольный;100001;КМП-оптимизированный;1000;14382069
четырехсимвольный;15121;наивный;1100;2278916
четырехсимвольный;15121;КМП-обычный;1100;1715305
четырехсимвольный;15121;КМП-оптимизированный;1100;1694458
четырехсимвольный;100001;наивный;1100;3922763
четырехсимвольный;100001;КМП-обычный;1100;10394569
четырехсимвольный;100001;КМП-оптимизированный;1100;10411694
четырехсимвольный;15121;наивный;1200;644291
четырехсимвольный;15121;КМП-обычный;1200;1671596
четырехсимвольный;15121;КМП-оптимизированный;1200;1670861
четырехсимвольный;100001;наивный;1200;1520625
четырехсимвольный;100001;КМП-обычный;1200;10398180
четырехсимвольный;100001;КМП-оптимизированный;1200;10569430
четырехсимвольный;15121;наивный;1300;421819
четырехсимвольный;15121;КМП-обычный;1300;1721597
четырехсимвольный;15121;КМП-оптимизированный;1300;1698625
четырехсимвольный;100001;наивный;1300;5108778
четырехсимвольный;100001;КМП-обычный;1300;10644722
четырехсимвольный;100001;КМП-оптимизированный;1300;10674431
четырехсимвольный;15121;наивный;1400;504444
четырехсимвольный;15121;КМП-обычный;1400;1720972
четырехсимвольный;15121;КМП-оптимизированный;1400;1711124
четырехсимвольный;100001;наивный;1400;4506291
четырехсимвольный;100001;КМП-обычный;1400;10638028
четырехсимвольный;100001;КМП-оптимизированный;1400;10513138
четырехсимвольный;15121;наивный;1500;235791
четырехсимвольный;15121;КМП-обычный;1500;1709069
четырехсимвольный;15121;КМП-оптимизированный;1500;1709500
четырехсимвольный;100001;наивный;1500;1088652
четырехсимвольный;100001;КМП-обычный;1500;10692652
четырехсимвольный;100001;КМП-оптимизированный;1500;10674944
четырехсимвольный;15121;наивный;1600;199444
четырехсимвольный;15121;КМП-обычный;1600;1721764
четырехсимвольный;15121;КМП-оптимизированный;1600;1716278
четырехсимвольный;100001;наивный;1600;3442277
четырехсимвольный;100001;КМП-обычный;1600;10560583
четырехсимвольный;100001;КМП-оптимизированный;1600;16840208
четырехсимвольный;15121;наивный;1700;740083
четырехсимвольный;15121;КМП-обычный;1700;1758097
четырехсимвольный;15121;КМП-оптимизированный;1700;1760916
четырехсимвольный;100001;наивный;1700;2755319
четырехсимвольный;100001;КМП-обычный;1700;10485264
четырехсимвольный;100001;КМП-оптимизированный;1700;10520569
четырехсимвольный;15121;наивный;1800;289250
четырехсимвольный;15121;КМП-обычный;1800;1772374
четырехсимвольный;15121;КМП-оптимизированный;1800;1770444
четырехсимвольный;100001;наивный;1800;5078847
четырехсимвольный;100001;КМП-обычный;1800;10523430
четырехсимвольный;100001;КМП-оптимизированный;1800;10533264
четырехсимвольный;15121;наивный;1900;598722
четырехсимвольный;15121;КМП-обычный;1900;1828208
четырехсимвольный;15121;КМП-оптимизированный;1900;1820847
четырехсимвольный;100001;наивный;1900;1413333
четырехсимвольный;100001;КМП-обычный;1900;10824305
четырехсимвольный;100001;КМП-оптимизированный;1900;10832347
четырехсимвольный;15121;наивный;2000;621125
четырехсимвольный;15121;КМП-обычный;2000;1787097
четырехсимвольный;15121;КМП-оптимизированный;2000;1788569
четырехсимвольный;100001;наивный;2000;2075611
четырехсимвольный;100001;КМП-обычный;2000;10418569
четырехсимвольный;100001;КМП-оптимизированный;2000;10484083
четырехсимвольный;15121;наивный;2100;665291
четырехсимвольный;15121;КМП-обычный;2100;1809569
четырехсимвольный;15121;КМП-оптимизированный;2100;1799805
четырехсимвольный;100001;наивный;2100;714833
четырехсимвольный;100001;КМП-обычный;2100;10435305
четырехсимвольный;100001;КМП-оптимизированный;2100;10449208
четырехсимвольный;15121;наивный;2200;505611
четырехсимвольный;15121;КМП-обычный;2200;1810083
четырехсимвольный;15121;КМП-оптимизированный;2200;1811222
четырехсимвольный;100001;наивный;2200;1718597
четырехсимвольный;100001;КМП-обычный;2200;10463222
четырехсимвольный;100001;КМП-оптимизированный;2200;10471402
четырехсимвольный;15121;наивный;2300;249750
четырехсимвольный;15121;КМП-обычный;2300;1794208
четырехсимвольный;15121;КМП-оптимизированный;2300;1794791
четырехсимвольный;100001;наивный;2300;4918139
четырехсимвольный;100001;КМП-обычный;2300;10494513
четырехсимвольный;100001;КМП-оптимизированный;2300;10500222
четырехсимвольный;15121;наивный;2400;408805
четырехсимвольный;15121;КМП-обычный;2400;1940069
четырехсимвольный;15121;КМП-оптимизированный;2400;1963111
четырехсимвольный;100001;наивный;2400;449375
четырехсимвольный;100001;КМП-обычный;2400;10664708
четырехсимвольный;100001;КМП-оптимизированный;2400;10511028
четырехсимвольный;15121;наивный;2500;452347
четырехсимвольный;15121;КМП-обычный;2500;1858333
четырехсимвольный;15121;КМП-оптимизированный;2500;1863986
четырехсимвольный;100001;наивный;2500;3629430
четырехсимвольный;100001;КМП-обычный;2500;10497597
четырехсимвольный;100001;КМП-оптимизированный;2500;10525861
четырехсимвольный;15121;наивный;2600;691375
четырехсимвольный;15121;КМП-обычный;2600;1887972
четырехсимвольный;15121;КМП-оптимизированный;2600;1887375
четырехсимвольный;100001;наивный;2600;4710125
четырехсимвольный;100001;КМП-обычный;2600;10531111
четырехсимвольный;100001;КМП-оптимизированный;2600;10545416
четырехсимвольный;15121;наивный;2700;198486
четырехсимвольный;15121;КМП-обычный;2700;1809180
четырехсимвольный;15121;КМП-оптимизированный;2700;1815083
четырехсимвольный;100001;наивный;2700;894583
четырехсимвольный;100001;КМП-обычный;2700;10547222
четырехсимвольный;100001;КМП-оптимизированный;2700;10579917
четырехсимвольный;15121;наивный;2800;501791
четырехсимвольный;15121;КМП-обычный;2800;1927014
четырехсимвольный;15121;КМП-оптимизированный;2800;1916388
четырехсимвольный;100001;наивный;2800;781097
четырехсимвольный;100001;КМП-обычный;2800;10537680
четырехсимвольный;100001;КМП-оптимизированный;2800;10594208
четырехсимвольный;15121;наивный;2900;292569
четырехсимвольный;15121;КМП-обычный;2900;1901555
четырехсимвольный;15121;КМП-оптимизированный;2900;1902486
четырехсимвольный;100001;наивный;2900;3324375
четырехсимвольный;100001;КМП-обычный;2900;10643180
четырехсимвольный;100001;КМП-оптимизированный;2900;10638319
четырехсимвольный;15121;наивный;3000;638846
четырехсимвольный;15121;КМП-обычный;3000;1949027
четырехсимвольный;15121;КМП-оптимизированный;3000;1947152
четырехсимвольный;100001;наивный;3000;1914833
четырехсимвольный;100001;КМП-обычный;3000;10686305
четырехсимвольный;100001;КМП-оптимизированный;3000;10602292
